GEOTYPE|ST|COUNTY|CSA|MSA|MD|GEO_ID|GEO_TTL|FOOTID_GEO|NAICS2012|NAICS2012_TTL|FOOTID_NAICS|YEAR|ESTAB|ESTAB_F|EMP|EMP_F|EMP_N|EMP_N_F|PAYQTR1|PAYQTR1_F|PAYQTR1_N|PAYQTR1_N_F|PAYANN|PAYANN_F|PAYANN_N|PAYANN_N_F
01|00|000|000|00000|00000|0100000US|United States||00|Total for all sectors||2012|7431808||115938468||0|G|1364679729||0|G|5414255995||0|G
01|00|000|000|00000|00000|0100000US|United States||11|Agriculture, forestry, fishing and hunting||2012|22046||161077||0|G|1332987||0|G|5909348||0|G
01|00|000|000|00000|00000|0100000US|United States||113|Forestry and logging||2012|8727||53515||0|G|496983||0|G|2120056||0|G
01|00|000|000|00000|00000|0100000US|United States||1131|Timber tract operations||2012|394||2129||0|G|26304||0|G|110290||0|G
01|00|000|000|00000|00000|0100000US|United States||11311|Timber tract operations||2012|394||2129||0|G|26304||0|G|110290||0|G
01|00|000|000|00000|00000|0100000US|United States||113110|Timber tract operations||2012|394||2129||0|G|26304||0|G|110290||0|G
01|00|000|000|00000|00000|0100000US|United States||1132|Forest nurseries and gathering of forest products||2012|182||1658||0|G|13546||0|H|53847||0|G
01|00|000|000|00000|00000|0100000US|United States||11321|Forest nurseries and gathering of forest products||2012|182||1658||0|G|13546||0|H|53847||0|G
01|00|000|000|00000|00000|0100000US|United States||113210|Forest nurseries and gathering of forest products||2012|182||1658||0|G|13546||0|H|53847||0|G
01|00|000|000|00000|00000|0100000US|United States||1133|Logging||2012|8151||49728||0|G|457133||0|G|1955919||0|G
01|00|000|000|00000|00000|0100000US|United States||11331|Logging||2012|8151||49728||0|G|457133||0|G|1955919||0|G
01|00|000|000|00000|00000|0100000US|United States||113310|Logging||2012|8151||49728||0|G|457133||0|G|1955919||0|G
01|00|000|000|00000|00000|0100000US|United States||114|Fishing, hunting and trapping||2012|2490||7767||0|G|81763||0|G|390509||0|G
01|00|000|000|00000|00000|0100000US|United States||1141|Fishing||2012|2188||6115||0|G|69979||0|G|341208||0|G
01|00|000|000|00000|00000|0100000US|United States||11411|Fishing||2012|2188||6115||0|G|69979||0|G|341208||0|G
01|00|000|000|00000|00000|0100000US|United States||114111|Finfish fishing||2012|1234||3959||0|G|52860||0|G|248205||0|G
01|00|000|000|00000|00000|0100000US|United States||114112|Shellfish fishing||2012|912||2063||0|H|16202||0|G|88794||0|G
01|00|000|000|00000|00000|0100000US|United States||114119|Other marine fishing||2012|42||93||0|H|0|S|0|S|4209||0|H
